done|do
pampered|pamper
papered|paper
parallelled|parallel
paralysed|paralyse
paralyzed|paralyze
paraphrased|paraphrase
parched|parch
pardoned|pardon
pared|pare
parodied|parody
paroled|parole
parried|parry
parsed|parse
partitioned|partition
partnered|partner
pasted|paste
pasteurized|pasteurize
patted|pat
patented|patent
patrolled|patrol
patronized|patronize
patterned|pattern
pauperized|pauperize
pawed|paw
pawned|pawn
pegged|peg
pelted|pelt
penalized|penalize
pencilled|pencil
peppered|pepper
perfected|perfect
perforated|perforate
perfumed|perfume
perfused|perfuse
perjured|perjure
permed|perm
permeated|permeate
permuted|permute
perpetrated|perpetrate
perpetuated|perpetuate
perplexed|perplex
persecuted|persecute
personalized|personalize
personified|personify
perturbed|perturb
perused|peruse
pervaded|pervade
perverted|pervert
pestered|pester
petted|pet
photocopied|photocopy
photographed|photograph
photosensitized|photosensitize
photostatted|photostat
phrased|phrase
pickled|pickle
pictured|picture
pierced|pierce
pigeonholed|pigeonhole
pilfered|pilfer
piloted|pilot
pinched|pinch
pinpointed|pinpoint
piped|pip
pipped|pipe
piqued|pique
pirated|pirate
pitted|pit
pitchforked|pitchfork
pitied|pity
placated|placate
placed|place
plagiarized|plagiarize
plagued|plague
planted|plant
plastered|plaster
pleased|please
plied|ply
plumbed|plumb
pocketed|pocket
poisoned|poison
polarized|polarize
policed|police
polished|polish
politicized|politicize
pollinated|pollinate
polluted|pollute
pondered|ponder
pooh-poohed|pooh-pooh
pooled|pool
popularized|popularize
populated|populate
ported|port
portended|portend
positioned|position
possessed|possess
posted|post
postdated|postdate
postmarked|postmark
postponed|postpone
powdered|powder
praised|praise
pre-empted|pre-empt
prearranged|prearrange
preceded|precede
precipitated|precipitate
precluded|preclude
preconceived|preconceive
predestined|predestine
predetermined|predetermine
predicated|predicate
predisposed|predispose
preempted|preempt
preened|preen
prefabricated|prefabricate
prefaced|preface
prefigured|prefigure
preheated|preheat
prejudged|prejudge
prejudiced|prejudice
premeditated|premeditate
premised|premise
preoccupied|preoccupy
preordained|preordain
prepaid|prepay
prerecorded|prerecord
presaged|presage
prescribed|prescribe
presented|present
preserved|preserve
presorted|presort
pressurized|pressurize
prettified|prettify
prevented|prevent
priced|price
prided|pride
primed|prime
printed|print
privileged|privilege
prized|prize
probed|probe
processed|process
procured|procure
prodded|prod
produced|produce
proffered|proffer
profiled|profile
prognosticated|prognosticate
prohibited|prohibit
projected|project
prolonged|prolong
promoted|promote
promulgated|promulgate
pronounced|pronounce
proofed|proof
propelled|propel
proportioned|proportion
propositioned|proposition
propounded|propound
proscribed|proscribe
prosecuted|prosecute
prostituted|prostitute
prostrated|prostrate
protected|protect
pruned|prune
psychoanalysed|psychoanalyse
psychoanalyzed|psychoanalyze
publicized|publicize
published|publish
pulverized|pulverize
pummelled|pummel
punctuated|punctuate
punished|punish
purchased|purchase
purified|purify
purloined|purloin
pursed|purse
pursued|pursue
purveyed|purvey
quaffed|quaff
qualified|qualify
quantified|quantify
quarantined|quarantine
quartered|quarter
quashed|quash
quelled|quell
quenched|quench
queried|query
questioned|question
quick-frozen|quick-freeze
quilted|quilt
quoted|quote
raffled|raffle
raided|raid
railroaded|railroad
rammed|ram
ramped|ramp
ransacked|ransack
ransomed|ransom
raped|rape
ratified|ratify
rationed|ration
rationalized|rationalize
ravaged|ravage
ravished|ravish
razed|raze
re-addressed|re-address
re-educated|re-educate
re-established|re-establish
readmitted|readmit
reaped|reap
rearranged|rearrange
reassessed|reassess
reauthorized|reauthorize
rebuffed|rebuff
rebuked|rebuke
rebutted|rebut
recaptured|recapture
recast|recast
recessed|recess
recited|recite
reclaimed|reclaim
recommitted|recommit
recompensed|recompense
reconciled|reconcile
reconditioned|recondition
reconsecrated|reconsecrate
reconsidered|reconsider
reconstructed|reconstruct
reconvicted|reconvict
recouped|recoup
recreated|recreate
rectified|rectify
recycled|recycle
redecorated|redecorate
redeemed|redeem
redefined|redefine
redeployed|redeploy
redesigned|redesign
redeveloped|redevelop
rediscovered|rediscover
redistributed|redistribute
redone|redo
redressed|redress
reduced|reduce
reduplicated|reduplicate
reestablished|reestablish
refashioned|refashion
refilled|refill
refinanced|refinance
refined|refine
reformulated|reformulate
refracted|refract
refreshed|refresh
refrigerated|refrigerate
refunded|refund
refurbished|refurbish
refurnished|refurnish
refuted|refute
regained|regain
regaled|regale
regimented|regiment
regularized|regularize
regulated|regulate
regurgitated|regurgitate
rehabilitated|rehabilitate
rehashed|rehash
rehoused|rehouse
reimbursed|reimburse
reinforced|reinforce
reinstated|reinstate
reinsured|reinsure
reintegrated|reintegrate
reinterpreted|reinterpret
reinvented|reinvent
reissued|reissue
rejected|reject
rejoined|rejoin
rejuvenated|rejuvenate
relayed|relay
released|release
relegated|relegate
relieved|relieve
relinquished|relinquish
relished|relish
relisted|relist
relived|relive
remanded|remand
remedied|remedy
remilitarized|remilitarize
remodelled|remodel
remoulded|remould
removed|remove
remunerated|remunerate
rent|rend
renewed|renew
renounced|renounce
renovated|renovate
reoriented|reorient
reorientated|reorientate
repackaged|repackage
repainted|repaint
repatriated|repatriate
repealed|repeal
repelled|repel
replaced|replace
replanted|replant
replayed|replay
replenished|replenish
replicated|replicate
reprehended|reprehend
represented|represent
repressed|repress
reprieved|reprieve
reprimanded|reprimand
reprinted|reprint
reproached|reproach
reproofed|reproof
reproved|reprove
repudiated|repudiate
repulsed|repulse
repurchased|repurchase
reputed|repute
requisitioned|requisition
reread|reread
rerouted|reroute
rescheduled|reschedule
rescinded|rescind
rescued|rescue
researched|research
reseated|reseat
resold|resell
resembled|resemble
resented|resent
reserved|reserve
reset|reset
reshaped|reshape
reshuffled|reshuffle
resoled|resole
respected|respect
restated|restate
restocked|restock
restored|restore
restrained|restrain
restricted|restrict
restructured|restructure
resumed|resume
resurrected|resurrect
retained|retain
retaken|retake
retarded|retard
retold|retell
rethought|rethink
retouched|retouch
retraced|retrace
retracted|retract
retransmitted|retransmit
retrieved|retrieve
revalued|revalue
revamped|revamp
revered|revere
reviewed|review
reviled|revile
revised|revise
revisited|revisit
revitalized|revitalize
revoked|revoke
revolutionized|revolutionize
rewarded|reward
rewired|rewire
reworded|reword
rewritten|rewrite
ribbed|rib
riddled|riddle
ridiculed|ridicule
rifled|rifle
righted|right
rimmed|rim
rivaled|rival
rivalled|rival
riveted|rivet
romanticized|romanticize
roped|rope
routed|rout
routed|route
rubber-stamped|rubber-stamp
rubberized|rubberize
rued|rue
ruined|ruin
rumpled|rumple
rusticated|rusticate
sabotaged|sabotage
sacked|sack
saddened|sadden
saddled|saddle
safeguarded|safeguard
salted|salt
salvaged|salvage
sampled|sample
sanctified|sanctify
sanctioned|sanction
sanded|sand
sandblasted|sandblast
sandpapered|sandpaper
sandwiched|sandwich
sapped|sap
satiated|satiate
satirized|satirize
satisfied|satisfy
saturated|saturate
sauteed|saute
savaged|savage
savoured|savour
scalded|scald
scalped|scalp
scandalized|scandalize
scanted|scant
scarred|scar
scented|scent
scheduled|schedule
schooled|school
scooped|scoop
scorched|scorch
scorned|scorn
scotched|scotch
scoured|scour
scrapped|scrap
screened|screen
scrunched|scrunch
scrutinized|scrutinize
sculpted|sculpt
scuttled|scuttle
seared|sear
seasoned|season
seated|seat
seconded|second
secreted|secrete
secularized|secularize
secured|secure
sedated|sedate
seduced|seduce
seeded|seed
segregated|segregate
selected|select
sensitized|sensitize
sentimentalized|sentimentalize
sequestered|sequester
serenaded|serenade
serialized|serialize
serviced|service
shackled|shackle
shadowed|shadow
shamed|shame
shampooed|shampoo
shared|share
sharpened|sharpen
sheared|shear
sheathed|sheathe
sheltered|shelter
shed|shed
shelved|shelve
shepherded|shepherd
shielded|shield
shingled|shingle
shirked|shirk
shocked|shock
shooed|shoo
short-changed|short-change
shortlisted|shortlist
shouldered|shoulder
shovelled|shovel
shredded|shred
shrouded|shroud
shucked|shuck
shunned|shun
shunted|shunt
shuttered|shutter
sicked|sick
sickened|sicken
sidelined|sideline
sidestepped|sidestep
sidetracked|sidetrack
sieved|sieve
sighted|sight
signposted|signpost
silenced|silence
silhouetted|silhouette
simplified|simplify
simulated|simulate
siphoned|siphon
sired|sire
skewered|skewer
skinned|skin
skippered|skipper
skirted|skirt
slaked|slake
slandered|slander
slapped|slap
slashed|slash
slated|slate
slaughtered|slaughter
slain|slay
sliced|slice
slighted|slight
slung|sling
slotted|slot
slugged|slug
slurred|slur
smelted|smelt
smitten|smite
smothered|smother
snagged|snag
snared|snare
snubbed|snub
socked|sock
soft-pedalled|soft-pedal
soiled|soil
soldered|solder
solicited|solicit
solved|solve
soothed|soothe
soundproofed|soundproof
souped|soup
soused|souse
spaded|spade
spanned|span
spanked|spank
spared|spare
spayed|spay
speared|spear
spearheaded|spearhead
specified|specify
spewed|spew
spiked|spike
spin-dried|spin-dry
spirited|spirit
spited|spite
spliced|splice
sponsored|sponsor
spoonfed|spoonfeed
spotted|spot
spotlighted|spotlight
sprained|sprain
sprayed|spray
sprinkled|sprinkle
spurned|spurn
squandered|squander
squelched|squelch
squired|squire
stabbed|stab
staffed|staff
staged|stage
stalemated|stalemate
standardized|standardize
stapled|staple
starched|starch
startled|startle
stashed|stash
stationed|station
staunched|staunch
stolen|steal
steamrollered|steamroller
steeled|steel
stereotyped|stereotype
sterilized|sterilize
stiffed|stiff
stigmatized|stigmatize
stilled|still
stimulated|stimulate
stitched|stitch
stockaded|stockade
stoked|stoke
stomached|stomach
stoned|stone
stored|store
stowed|stow
straddled|straddle
strafed|strafe
straitened|straiten
strangled|strangle
strapped|strap
streamlined|streamline
strewed|strew
stroked|stroke
structured|structure
stubbed|stub
stuccoed|stucco
studded|stud
stunned|stun
stunted|stunt
styled|style
stylized|stylize
stymied|stymie
subdued|subdue
subedited|subedit
subjected|subject
subjugated|subjugate
sublimated|sublimate
subordinated|subordinate
subpoenaed|subpoena
subserved|subserve
subsidized|subsidize
substantiated|substantiate
subsumed|subsume
subtended|subtend
subtracted|subtract
subverted|subvert
succoured|succour
suckled|suckle
suffused|suffuse
suited|suit
sullied|sully
summarized|summarize
summoned|summon
sunned|sun
sundered|sunder
superimposed|superimpose
superseded|supersede
supplanted|supplant
supplemented|supplement
supplied|supply
supported|support
suppressed|suppress
surmounted|surmount
surpassed|surpass
surrounded|surround
surveyed|survey
suspended|suspend
sustained|sustain
swamped|swamp
swathed|swat
swatted|swathe
sweetened|sweeten
swigged|swig
swindled|swindle
swiped|swipe
symbolized|symbolize
syncopated|syncopate
syndicated|syndicate
synthesized|synthesize
syphoned|syphon
systematized|systematize
tabled|table
tabulated|tabulate
tailed|tail
tailored|tailor
tainted|taint
tamed|tame
tamped|tamp
tantalized|tantalize
tarred|tar
targeted|target
tattooed|tattoo
taunted|taunt
taxed|tax
teased|tease
telecast|telecast
telescoped|telescope
televised|televise
tendered|tender
terraced|terrace
terrified|terrify
terrorized|terrorize
tested|test
test-driven|test-drive
tethered|tether
thanked|thank
thatched|thatch
thirsted|thirst
threaded|thread
thumbed|thumb
thwarted|thwart
ticketed|ticket
tiled|tile
tilled|till
timed|time
tinted|tint
titillated|titillate
toed|toe
tolerated|tolerate
tormented|torment
torpedoed|torpedo
tortured|torture
toted|tote
toured|tour
tousled|tousle
touted|tout
towed|tow
towelled|towel
trampled|trample
tranquilized|tranquilize
tranquillized|tranquillize
transacted|transact
transcended|transcend
transcribed|transcribe
transfixed|transfix
transformed|transform
transfused|transfuse
transmitted|transmit
transmuted|transmute
transported|transport
transposed|transpose
transshipped|transship
trapped|trap
traversed|traverse
treasured|treasure
tricked|trick
triggered|trigger
trivialized|trivialize
troubled|trouble
trounced|trounce
truncated|truncate
tutored|tutor
tweaked|tweak
twiddled|twiddle
typecast|typecast
typified|typify
tyrannized|tyrannize
unbalanced|unbalance
unbanned|unban
unblocked|unblock
unbolted|unbolt
unbuckled|unbuckle
unburdened|unburden
unbuttoned|unbutton
uncorked|uncork
uncoupled|uncouple
uncovered|uncover
uncrossed|uncross
undercharged|undercharge
undercut|undercut
underestimated|underestimate
underexposed|underexpose
undergone|undergo
underlay|underlie
underlined|underline
undermined|undermine
underpaid|underpay
underpinned|underpin
underquoted|underquote
underrated|underrate
underscored|underscore
undersold|undersell
undershot|undershoot
undersigned|undersign
understated|understate
understocked|understock
understudied|understudy
undervalued|undervalue
underwritten|underwrite
undone|undo
unearthed|unearth
unfettered|unfetter
unfrocked|unfrock
unfurled|unfurl
unhanded|unhand
unhinged|unhinge
unhooked|unhook
unlearned|unlearn
unleashed|unleash
unloosed|unloose
unmasked|unmask
unnerved|unnerve
unplugged|unplug
unsaddled|unsaddle
unscrambled|unscramble
unsettled|unsettle
unsheathed|unsheathe
unveiled|unveil
unzipped|unzip
upbraided|upbraid
updated|update
upgraded|upgrade
upheld|uphold
upholstered|upholster
uplifted|uplift
uprooted|uproot
upset|upset
upstaged|upstage
ushered|usher
usurped|usurp
utilized|utilize
uttered|utter
vacated|vacate
vaccinated|vaccinate
valeted|valet
validated|validate
valued|value
vanquished|vanquish
varnished|varnish
veiled|veil
vended|vend
venerated|venerate
vented|vent
ventilated|ventilate
verbalized|verbalize
vetoed|vet
vetted|veto
vexed|vex
victimized|victimize
videotaped|videotape
vilified|vilify
vindicated|vindicate
violated|violate
visaed|visa
visualized|visualize
vitiated|vitiate
vivisected|vivisect
vocalized|vocalize
voiced|voice
voided|void
vouchsafed|vouchsafe
vulgarized|vulgarize
waged|wage
waived|waive
walled|wall
walloped|wallop
wangled|wangle
warded|ward
warranted|warrant
wasted|waste
waterproofed|waterproof
waylaid|waylay
weaned|wean
weathered|weather
wedged|wedge
weighted|weight
welcomed|welcome
wended|wend
westernized|westernize
wetted|wet
whacked|whack
wheedled|wheedle
whetted|whet
whiled|while
whitewashed|whitewash
wielded|wield
winged|wing
winnowed|winnow
withheld|withhold
withstood|withstand
witnessed|witness
wolfed|wolf
wooed|woo
worded|word
wormed|worm
wounded|wound
wreaked|wreak
wrecked|wreck
wrenched|wrench
wrested|wrest
wronged|wrong
zapped|zap
zoned|zone
barged|barge
boozed|booze
bottomed|bottom
bowed|bow
branched|branch
breezed|breeze
brimmed|brim
bulged|bulge
caved|cave
clammed|clam
clicked|click
clowned|clown
come|come
crapped|crap
crawled|crawl
crept|creep
cropped|crop
crouched|crouch
cruised|cruise
cried|cry
danced|dance
darted|dart
dived|dive
dozed|doze
drifted|drift
droned|drone
faded|fade
fizzled|fizzle
flocked|flock
flowed|flow
foamed|foam
forked|fork
ganged|gang
geared|gear
goofed|goof
gushed|gush
hurried|hurry
jogged|jog
jutted|jut
keeled|keel
kneeled|kneel
knelt|kneel
knuckled|knuckle
lied|lie
limped|limp
lingered|linger
listened|listen
loomed|loom
lunged|lunge
lurched|lurch
marched|march
mellowed|mellow
nestled|nestle
opted|opt
peeked|peek
peered|peer
perked|perk
petered|peter
pigged|pig
pined|pine
plonked|plonk
plopped|plop
puffed|puff
rotted|rot
sailed|sail
sallied|sally
sat|sit
screamed|scream
scurried|scurry
seeped|seep
shacked|shack
shined|shine
shone|shine
shopped|shop
shriveled|shrivel
shied|shy
slacked|slack
slaved|slave
slid|slide
slimmed|slim
slinked|slink
sloped|slope
slumped|slump
soared|soar
soldiered|soldier
spurted|spurt
squatted|squat
stood|stand
stepped|step
stooped|stoop
streamed|stream
strolled|stroll
strutted|strut
stumbled|stumble
swum|swim
swooped|swoop
teamed|team
tensed|tense
toddled|toddle
tramped|tramp
trickled|trickle
trudged|trudge
tumbled|tumble
veered|veer
wafted|waft
walked|walk
zeroed|zero
zoomed|zoom
skidded|skid
averaged|average
backed|back
bailed|bail
banged|bang
beamed|beam
beat|beat
beefed|beef
bellowed|bellow
bent|bend
bound|bind
blared|blare
bobbed|bob
bogged|bog
boiled|boil
bolted|bolt
bored|bore
bounced|bounce
bounded|bound
bowled|bowl
boxed|box
broken|break
breathed|breathe
brightened|brighten
bruised|bruise
brushed|brush
bucked|buck
buckled|buckle
built|build
bummed|bum
bumped|bump
bunched|bunch
burned|burn
busted|bust
butted|butt
buttoned|button
buzzed|buzz
calmed|calm
camped|camp
canceled|cancel
carved|carve
cashed|cash
cast|cast
caught|catch
changed|change
chatted|chat
cheated|cheat
checked|check
cheered|cheer
chewed|chew
chilled|chill
chipped|chip
choked|choke
chopped|chop
churned|churn
climbed|climb
clogged|clog
closed|close
clouded|cloud
clumped|clump
coiled|coil
combed|comb
connected|connect
contracted|contract
cooked|cook
cooled|cool
copped|cop
coughed|cough
counted|count
cracked|crack
crammed|cram
crossed|cross
crowded|crowd
crumbled|crumble
crumpled|crumple
crunched|crunch
curled|curl
dashed|dash
dealed|dealing
dialed|dial
dug|dig
dined|dine
dragged|drag
drained|drain
drawn|draw
dressed|dress
driven|drive
dropped|drop
drowned|drown
drummed|drum
dried|dry
ducked|duck
eased|ease
eaten|eat
edged|edge
emptied|empty
evened|even
faced|face
fanned|fan
farmed|farm
fattened|fatten
fended|fend
fetched|fetch
filed|file
filled|fill
filtered|filter
fired|fire
firmed|firm
fished|fish
flared|flare
flattened|flatten
flipped|flip
floated|float
flooded|flood
flunked|flunk
flushed|flush
flown|fly
folded|fold
followed|follow
fouled|foul
freaked|freak
frozen|freeze
freshened|freshen
fucked|fuck
fueled|fuel
galloped|gallop
gathered|gather
glazed|glaze
gobbled|gobble
grinded|grind
gulped|gulp
hacked|hack
hammered|hammer
hanged|hang
hung|hang
hauled|haul
headed|head
healed|heal
heated|heat
herded|herd
hidden|hide
hiked|hike
hitched|hitch
hooked|hook
hopped|hop
hunted|hunt
ironed|iron
jammed|jam
jerked|jerk
joined|join
jumbled|jumble
jumped|jump
knocked|knock
knotted|knot
lapped|lap
lashed|lash
led|lead
leaked|leak
leaned|lean
leaped|leap
leapt|leap
leveled|level
licked|lick
lit|light
lightened|lighten
limbered|limber
lined|line
livened|liven
logged|log
loosened|loosen
lost|lose
married|marry
matched|match
melted|melt
messed|mess
missed|miss
mopped|mop
mouthed|mouth
moved|move
mucked|muck
nodded|nod
oozed|ooze
opened|open
packed|pack
paired|pair
panned|pan
peeled|peel
piled|pile
pissed|piss
played|play
ploughed|plough
plowed|plow
plucked|pluck
plunged|plunge
pointed|point
poked|poke
popped|pop
pounded|pound
poured|pour
pried|pry
puckered|pucker
pulled|pull
pumped|pump
quieted|quiet
raked|rake
reached|reach
reeled|reel
rented|rent
revved|rev
ridden|ride
ringed|ring
rung|ring
ripped|rip
rocked|rock
rolled|roll
rooted|root
rounded|round
rubbed|rub
run|run
rushed|rush
scouted|scout
scraped|scrape
scratched|scratch
screwed|screw
sealed|seal
served|serve
settled|settle
sewed|sew
shaped|shape
shaved|shave
shifted|shift
shipped|ship
shot|shoot
shorted|short
shrugged|shrug
shushed|shush
signed|sign
shut|shut
sketched|sketch
skipped|skip
slipped|slip
slowed|slow
smartened|smarten
smashed|smash
smoothed|smooth
snapped|snap
snatched|snatch
sneaked|sneak
sniffed|sniff
snuffed|snuff
soaked|soak
sobered|sober
softened|soften
spaced|space
sparked|spark
sped|speed
speeded|speed
spelled|spell
spelt|spell
spilled|spill
spun|spin
spat|spit
split|split
spread|spread
sprung|spring
sprouted|sprout
spruced|spruce
squared|square
squeezed|squeeze
squirted|squirt
staggered|stagger
stamped|stamp
starred|star
starved|starve
steamed|steam
stuck|stick
stiffened|stiffen
stirred|stir
stocked|stock
stormed|storm
straightened|straighten
stretched|stretch
struck|strike
stripped|strip
sucked|suck
summed|sum
swelled|swell
swung|swing
switched|switch
tallied|tally
tangled|tangle
tapered|taper
thickened|thicken
thinned|thin
ticked|tick
tidied|tidy
tightened|tighten
tipped|tip
tired|tire
toned|tone
toppled|topple
tossed|toss
trailed|trail
treaded|tread
trimmed|trim
tripped|trip
tucked|tuck
tuned|tune
twisted|twist
typed|type
waken|wake
warmed|warm
weaved|weave
weeded|weed
weighed|weigh
whipped|whip
whooped|whoop
won|win
wound|wind
wiped|wipe
worked|work
wrapped|wrap
auctioned|auction
bandied|bandy
barred|bar
battened|batten
bitten|bite
blocked|block
blotted|blot
blown|blow
blurted|blurt
boarded|board
booked|book
booted|boot
bottled|bottle
bundled|bundle
buttered|butter
caged|cage
carried|carry
carted|cart
chalked|chalk
chased|chase
chucked|chuck
cleaned|clean
cluttered|clutter
covered|cover
cranked|crank
cut|cut
dammed|dam
dished|dish
divided|divide
doled|dole
dredged|dredge
drunk|drink
dumped|dump
egged|egg
eked|eke
factored|factor
faxed|fax
flinged|fling
flung|fling
fixed|fix
fobbed|fob
gouged|gouge
hammed|ham
hashed|hash
hoisted|hoist
jacked|jack
jazzed|jazz
jotted|jot
kicked|kick
killed|kill
laid|lay
lifted|lift
linked|link
loaded|load
locked|lock
lopped|lop
mailed|mail
mapped|map
marked|mark
meted|mete
mixed|mix
mulled|mull
mussed|muss
nailed|nail
palmed|palm
patched|patch
paved|pave
penned|pen
phased|phase
phoned|phone
picked|pick
pieced|piece
pinned|pin
plugged|plug
pricked|prick
propped|prop
punched|punch
pushed|push
racked|rack
reined|rein
rigged|rig
riled|rile
rinsed|rinse
roughed|rough
roughened|roughen
saved|save
scaled|scale
scared|scare
shaken|shake
shored|shore
singled|single
sized|size
skimmed|skim
smuggled|smuggle
sopped|sop
sorted|sort
spiced|spice
stacked|stack
staked|stake
staved|stave
stringed|string
strung|string
stuffed|stuff
sussed|suss
swept|sweep
tacked|tack
taped|tape
torn|tear
thrown|throw
tided|tide
tied|tie
topped|top
totaled|total
touched|touch
toughened|toughen
tracked|track
wadded|wad
washed|wash
worn|wear
wrung|wring
yanked|yank
zipped|zip
acknowledged|acknowledge
added|add
admitted|admit
affirmed|affirm
agreed|agree
announced|announce
argued|argue
ascertained|ascertain
asserted|assert
assumed|assume
believed|believe
bragged|brag
calculated|calculate
charged|charge
claimed|claim
commanded|command
commented|comment
complained|complain
conceded|concede
concluded|conclude
confessed|confess
confirmed|confirm
contended|contend
decided|decide
declared|declare
deduced|deduce
determined|determine
discerned|discern
disclosed|disclose
discovered|discover
emphasized|emphasize
envisioned|envision
exclaimed|exclaim
explained|explain
figured|figure
guessed|guess
hinted|hint
hoped|hope
implied|imply
inquired|inquire
insisted|insist
intimated|intimate
learned|learn
maintained|maintain
mused|muse
muttered|mutter
noted|note
observed|observe
ordered|order
pledged|pledge
postulated|postulate
predicted|predict
presumed|presume
proclaimed|proclaim
promised|promise
proposed|propose
proved|prove
read|read
realized|realize
reasoned|reason
recalled|recall
reckoned|reckon
recognized|recognize
recounted|recount
reflected|reflect
remarked|remark
remembered|remember
repeated|repeat
replied|reply
reported|report
resolved|resolve
responded|respond
retorted|retort
revealed|reveal
ruled|rule
shouted|shout
sighed|sigh
speculated|speculate
stated|state
stipulated|stipulate
stressed|stress
suggested|suggest
testified|testify
theorized|theorize
thought|think
threatened|threaten
warned|warn
whispered|whisper
wondered|wonder
written|write
related|relate
continued|continue
